Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000899643,0.000592735,0.00029797650000000004,0.000592735,0.000592735,0.000592735
2,0,2.0,1,2.82842,0.0,2.0,0.001104585,0.000761689,0.00038247199999999997,0.000761689,0.000761689,0.000761689
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.001358206,0.000937958,0.000470575,0.000937958,0.000937958,0.000937958
4,0,1.0,1,1.41421,0.0,1.0,0.000696464,0.000475445,0.000475445,0.000475445,0.000475445,0.000475445
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.001591342,0.001015914,0.000340381,0.001015914,0.001015914,0.001015914
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.00157514,0.001014213,0.00033989399999999993,0.001014213,0.001014213,0.001014213
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.001611439,0.001023617,0.00034296966666666674,0.001023617,0.001023617,0.001023617
8,0,1.0,1,1.41421,0.0,1.0,0.00053348,0.000313042,0.000313042,0.000313042,0.000313042,0.000313042
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.001627878,0.001015792,0.000340438,0.001015792,0.001015792,0.001015792
10,0,3.0,1,3.0,0.0,3.0,0.001374139,0.000812419,0.00027270533333333336,0.000812419,0.000812419,0.000812419
11,5,171.0,1,22.727890000000006,0.0,19.0,0.03756838,0.034127677,0.0017983204210526322,0.034127677,0.034127677,0.034127677
12,5,156.0,1,21.727890000000006,0.0,18.0,0.033293383,0.030324089,0.001686695833333333,0.030324089,0.030324089,0.030324089
13,5,88.0,1,20.798940000000005,0.0,15.0,0.020765773,0.018160698,0.0012126750666666664,0.018160698,0.018160698,0.018160698
14,5,116.0,1,23.213150000000006,0.0,17.0,0.025725259,0.022804524,0.001343331117647059,0.022804524,0.022804524,0.022804524
15,5,175.0,1,23.142100000000006,3.07034683870565e-16,19.0,0.037914994,0.034476448,0.0018165948947368427,0.034476448,0.034476448,0.034476448
16,5,124.0,1,23.213150000000006,0.0,17.0,0.027543885,0.024621318,0.0014501006470588238,0.024621318,0.024621318,0.024621318
17,5,164.0,1,22.142100000000006,3.209012405147209e-16,18.0,0.035190764,0.032113975,0.0017860132777777775,0.032113975,0.032113975,0.032113975
18,5,117.0,1,20.970520000000004,0.0,16.0,0.025955562,0.023229489,0.0014538240624999994,0.023229489,0.023229489,0.023229489
19,5,187.0,1,23.313680000000005,0.0,20.0,0.04218252,0.038366402,0.0019205145999999997,0.038366402,0.038366402,0.038366402
20,5,132.0,1,20.142100000000003,1.763824863743354e-16,16.0,0.028601681,0.025974345,0.0016252610625,0.025974345,0.025974345,0.025974345
21,10,356.0,2,41.86998999999999,0.0,17.0,0.082500075,0.038381812,0.00225995294117647,0.065532484,0.065532484,0.065532484
22,10,279.0,1,39.597879999999996,0.0,28.0,0.064133455,0.058920099,0.0021063211785714285,0.058920099,0.058920099,0.058920099
23,10,532.0,2,41.142099999999985,0.014444118423031312,18.5,0.122887368,0.05808595850000001,0.003141833783783784,0.06714037,0.06714037,0.06714037
24,10,85.0,1,40.828419999999994,4.89855100668589e-07,40.0,0.02117645,0.016019454,0.0004027941250000002,0.016019454,0.016019454,0.016019454
25,10,330.0,2,43.041569999999986,0.0,18.0,0.072564589,0.033569266,0.0018669404722222226,0.063474832,0.063474832,0.063474832
26,10,350.0,2,40.45577999999999,0.0,16.5,0.081664897,0.0379558925,0.002302437696969697,0.065806355,0.065806355,0.065806355
27,10,502.0,2,46.76945999999999,0.14716504454299262,18.0,0.116271077,0.05503743,0.0030596607222222218,0.065799502,0.065799502,0.065799502
28,10,262.0,1,42.31367999999998,0.0,39.0,0.058283792,0.052864106,0.0013575175641025638,0.052864106,0.052864106,0.052864106
29,10,583.0,2,50.01208999999998,0.19041825945796648,19.0,0.135630021,0.06433417450000001,0.0033879879736842104,0.065884195,0.065884195,0.065884195
30,10,318.0,2,42.142099999999985,0.0,19.0,0.069909446,0.032039065,0.0016882517631578954,0.062516606,0.062516606,0.062516606
31,15,1016.0,4,73.15418999999994,0.21754614010881462,14.25,0.231412552,0.055150193,0.003872124421052631,0.07118765,0.070128318,0.07118765
32,15,599.0,2,61.970519999999986,0.0,28.5,0.142199218,0.0667700695,0.0023448002631578932,0.067360476,0.067360476,0.067360476
33,15,581.0,2,62.38472999999998,0.0,28.5,0.136939406,0.06405170099999999,0.002249473385964912,0.066198711,0.066198711,0.066198711
34,15,713.0,3,63.32576999999996,0.052722249282261845,16.0,0.159147773,0.05032221433333334,0.003147086354166667,0.070673537,0.06452268,0.070673537
35,15,761.0,3,66.59787999999995,0.04435154054596469,18.333333333333332,0.166457968,0.051845965,0.0028300608909090897,0.068249628,0.062248804,0.068249628
