Teste Bucket Estados expandidos Episódios de busca Custo da trajetória % Sol. Ótima Ações por Episódio de Busca Tempo Total Busca Tempo Médio Episódio de Busca Tempo Médio Busca por Ação Tempo máximo de planejamento Fifty Ninety
1 0 maps/wc3maps/duskwood.map 512 512 365 459 363 461 2.83 0.0 0 0.0 NaN 0.0 2.886e-06 0.0 0.0 0.0 0.0 0.0
2 0 maps/wc3maps/duskwood.map 512 512 261 157 264 157 3.00 0.0 0 0.0 NaN 0.0 2.93e-06 0.0 0.0 0.0 0.0 0.0
3 0 maps/wc3maps/duskwood.map 512 512 308 326 310 328 2.83 0.0 0 0.0 NaN 0.0 2.87e-06 0.0 0.0 0.0 0.0 0.0
4 0 maps/wc3maps/duskwood.map 512 512 197 194 199 192 2.83 0.0 0 0.0 NaN 0.0 2.728e-06 0.0 0.0 0.0 0.0 0.0
5 0 maps/wc3maps/duskwood.map 512 512 308 167 311 166 3.41 0.0 0 0.0 NaN 0.0 2.885e-06 0.0 0.0 0.0 0.0 0.0
6 0 maps/wc3maps/duskwood.map 512 512 336 167 333 167 3.00 0.0 0 0.0 NaN 0.0 2.736e-06 0.0 0.0 0.0 0.0 0.0
7 0 maps/wc3maps/duskwood.map 512 512 444 260 447 260 3.00 0.0 0 0.0 NaN 0.0 3.0e-06 0.0 0.0 0.0 0.0 0.0
8 0 maps/wc3maps/duskwood.map 512 512 75 71 73 68 3.83 0.0 0 0.0 NaN 0.0 3.102e-06 0.0 0.0 0.0 0.0 0.0
9 0 maps/wc3maps/duskwood.map 512 512 428 121 426 119 2.83 0.0 0 0.0 NaN 0.0 2.957e-06 0.0 0.0 0.0 0.0 0.0
10 0 maps/wc3maps/duskwood.map 512 512 200 459 199 462 3.41 0.0 0 0.0 NaN 0.0 2.895e-06 0.0 0.0 0.0 0.0 0.0
11 5 maps/wc3maps/duskwood.map 512 512 80 151 60 159 23.31 0.0 0 0.0 NaN 0.0 3.047e-06 0.0 0.0 0.0 0.0 0.0
12 5 maps/wc3maps/duskwood.map 512 512 133 244 112 237 23.90 0.0 0 0.0 NaN 0.0 2.788e-06 0.0 0.0 0.0 0.0 0.0
13 5 maps/wc3maps/duskwood.map 512 512 222 412 220 435 23.83 0.0 0 0.0 NaN 0.0 2.552e-06 0.0 0.0 0.0 0.0 0.0
14 5 maps/wc3maps/duskwood.map 512 512 129 375 127 398 23.83 0.0 0 0.0 NaN 0.0 2.915e-06 0.0 0.0 0.0 0.0 0.0
15 5 maps/wc3maps/duskwood.map 512 512 315 317 333 304 23.38 0.0 0 0.0 NaN 0.0 2.94e-06 0.0 0.0 0.0 0.0 0.0
16 5 maps/wc3maps/duskwood.map 512 512 421 300 432 319 23.56 0.0 0 0.0 NaN 0.0 2.912e-06 0.0 0.0 0.0 0.0 0.0
17 5 maps/wc3maps/duskwood.map 512 512 135 178 119 161 23.63 0.0 0 0.0 NaN 0.0 2.662e-06 0.0 0.0 0.0 0.0 0.0
18 5 maps/wc3maps/duskwood.map 512 512 232 278 249 266 21.97 0.0 0 0.0 NaN 0.0 2.795e-06 0.0 0.0 0.0 0.0 0.0
19 5 maps/wc3maps/duskwood.map 512 512 341 379 347 400 23.49 0.0 0 0.0 NaN 0.0 2.825e-06 0.0 0.0 0.0 0.0 0.0
20 5 maps/wc3maps/duskwood.map 512 512 247 352 270 352 23.00 0.0 0 0.0 NaN 0.0 2.854e-06 0.0 0.0 0.0 0.0 0.0
21 10 maps/wc3maps/duskwood.map 512 512 156 416 157 458 43.24 0.0 0 0.0 NaN 0.0 2.989e-06 0.0 0.0 0.0 0.0 0.0
22 10 maps/wc3maps/duskwood.map 512 512 288 226 318 197 42.01 0.0 0 0.0 NaN 0.0 2.93e-06 0.0 0.0 0.0 0.0 0.0
23 10 maps/wc3maps/duskwood.map 512 512 367 302 336 330 42.60 0.0 0 0.0 NaN 0.0 2.846e-06 0.0 0.0 0.0 0.0 0.0
24 10 maps/wc3maps/duskwood.map 512 512 217 416 205 455 43.97 0.0 0 0.0 NaN 0.0 2.688e-06 0.0 0.0 0.0 0.0 0.0
25 10 maps/wc3maps/duskwood.map 512 512 164 377 128 395 43.46 0.0 0 0.0 NaN 0.0 2.792e-06 0.0 0.0 0.0 0.0 0.0
26 10 maps/wc3maps/duskwood.map 512 512 341 209 301 210 40.41 0.0 0 0.0 NaN 0.0 2.784e-06 0.0 0.0 0.0 0.0 0.0
27 10 maps/wc3maps/duskwood.map 512 512 95 122 83 83 43.97 0.0 0 0.0 NaN 0.0 2.786e-06 0.0 0.0 0.0 0.0 0.0
28 10 maps/wc3maps/duskwood.map 512 512 289 379 249 372 43.73 0.0 0 0.0 NaN 0.0 2.931e-06 0.0 0.0 0.0 0.0 0.0
29 10 maps/wc3maps/duskwood.map 512 512 229 346 272 346 43.00 0.0 0 0.0 NaN 0.0 2.516e-06 0.0 0.0 0.0 0.0 0.0
30 10 maps/wc3maps/duskwood.map 512 512 343 160 377 183 43.53 0.0 0 0.0 NaN 0.0 2.847e-06 0.0 0.0 0.0 0.0 0.0
31 15 maps/wc3maps/duskwood.map 512 512 295 371 325 402 63.87 0.0 0 0.0 NaN 0.0 2.868e-06 0.0 0.0 0.0 0.0 0.0
32 15 maps/wc3maps/duskwood.map 512 512 432 172 377 192 63.28 0.0 0 0.0 NaN 0.0 2.79e-06 0.0 0.0 0.0 0.0 0.0
33 15 maps/wc3maps/duskwood.map 512 512 161 347 203 326 60.01 0.0 0 0.0 NaN 0.0 3.039e-06 0.0 0.0 0.0 0.0 0.0
34 15 maps/wc3maps/duskwood.map 512 512 345 301 340 240 63.07 0.0 0 0.0 NaN 0.0 2.98e-06 0.0 0.0 0.0 0.0 0.0
35 15 maps/wc3maps/duskwood.map 512 512 219 294 164 295 62.87 0.0 0 0.0 NaN 0.0 2.927e-06 0.0 0.0 0.0 0.0 0.0
36 15 maps/wc3maps/duskwood.map 512 512 329 365 319 306 63.14 0.0 0 0.0 NaN 0.0 3.028e-06 0.0 0.0 0.0 0.0 0.0
37 15 maps/wc3maps/duskwood.map 512 512 440 107 385 87 63.28 0.0 0 0.0 NaN 0.0 2.798e-06 0.0 0.0 0.0 0.0 0.0
38 15 maps/wc3maps/duskwood.map 512 512 215 219 241 175 60.63 0.0 0 0.0 NaN 0.0 2.897e-06 0.0 0.0 0.0 0.0 0.0
39 15 maps/wc3maps/duskwood.map 512 512 220 388 214 449 63.49 0.0 0 0.0 NaN 0.0 3.204e-06 0.0 0.0 0.0 0.0 0.0
40 15 maps/wc3maps/duskwood.map 512 512 124 278 172 304 61.84 0.0 0 0.0 NaN 0.0 2.644e-06 0.0 0.0 0.0 0.0 0.0
41 20 maps/wc3maps/duskwood.map 512 512 176 307 112 261 83.05 0.0 0 0.0 NaN 0.0 2.772e-06 0.0 0.0 0.0 0.0 0.0
42 20 maps/wc3maps/duskwood.map 512 512 276 179 207 143 83.91 0.0 0 0.0 NaN 0.0 2.891e-06 0.0 0.0 0.0 0.0 0.0
43 20 maps/wc3maps/duskwood.map 512 512 252 155 180 165 81.94 0.0 0 0.0 NaN 0.0 2.919e-06 0.0 0.0 0.0 0.0 0.0
44 20 maps/wc3maps/duskwood.map 512 512 298 337 225 360 82.53 0.0 0 0.0 NaN 0.0 2.907e-06 0.0 0.0 0.0 0.0 0.0
45 20 maps/wc3maps/duskwood.map 512 512 412 384 405 461 83.21 0.0 0 0.0 NaN 0.0 3.024e-06 0.0 0.0 0.0 0.0 0.0
46 20 maps/wc3maps/duskwood.map 512 512 191 221 267 240 83.87 0.0 0 0.0 NaN 0.0 2.832e-06 0.0 0.0 0.0 0.0 0.0
47 20 maps/wc3maps/duskwood.map 512 512 464 457 392 437 80.28 0.0 0 0.0 NaN 0.0 2.847e-06 0.0 0.0 0.0 0.0 0.0
48 20 maps/wc3maps/duskwood.map 512 512 268 261 331 233 82.88 0.0 0 0.0 NaN 0.0 2.636e-06 0.0 0.0 0.0 0.0 0.0
49 20 maps/wc3maps/duskwood.map 512 512 126 371 90 392 83.28 0.0 0 0.0 NaN 0.0 2.781e-06 0.0 0.0 0.0 0.0 0.0
50 20 maps/wc3maps/duskwood.map 512 512 369 246 445 265 83.87 0.0 0 0.0 NaN 0.0 2.963e-06 0.0 0.0 0.0 0.0 0.0
51 25 maps/wc3maps/duskwood.map 512 512 279 136 262 41 103.21 0.0 0 0.0 NaN 0.0 2.657e-06 0.0 0.0 0.0 0.0 0.0
52 25 maps/wc3maps/duskwood.map 512 512 313 218 342 130 100.01 0.0 0 0.0 NaN 0.0 2.733e-06 0.0 0.0 0.0 0.0 0.0
53 25 maps/wc3maps/duskwood.map 512 512 343 283 346 379 102.21 0.0 0 0.0 NaN 0.0 2.825e-06 0.0 0.0 0.0 0.0 0.0
54 25 maps/wc3maps/duskwood.map 512 512 119 407 62 349 103.53 0.0 0 0.0 NaN 0.0 2.863e-06 0.0 0.0 0.0 0.0 0.0
55 25 maps/wc3maps/duskwood.map 512 512 150 221 71 266 102.91 0.0 0 0.0 NaN 0.0 2.861e-06 0.0 0.0 0.0 0.0 0.0
56 25 maps/wc3maps/duskwood.map 512 512 177 257 224 174 102.47 0.0 0 0.0 NaN 0.0 3.227e-06 0.0 0.0 0.0 0.0 0.0
57 25 maps/wc3maps/duskwood.map 512 512 197 275 208 372 103.21 0.0 0 0.0 NaN 0.0 2.589e-06 0.0 0.0 0.0 0.0 0.0
58 25 maps/wc3maps/duskwood.map 512 512 385 451 478 426 103.36 0.0 0 0.0 NaN 0.0 3.0e-06 0.0 0.0 0.0 0.0 0.0
59 25 maps/wc3maps/duskwood.map 512 512 448 382 381 401 102.04 0.0 0 0.0 NaN 0.0 2.895e-06 0.0 0.0 0.0 0.0 0.0
60 25 maps/wc3maps/duskwood.map 512 512 430 289 367 223 102.64 0.0 0 0.0 NaN 0.0 2.864e-06 0.0 0.0 0.0 0.0 0.0
